Ticker,Strategy,Return,Sharpe,Max Drawdown,Win Rate
SPY,MA Crossover,0.7751436012399888,0.623173299437769,-0.29596484664240696,0.5417201540436457
SPY,Mean Reversion,0.5048362946343272,0.41616923663856714,-0.29724314989316986,0.5090497737556561
SPY,Buy & Hold,1.7190581930974154,,-0.33717272637674867,
AAPL,MA Crossover,1.8911280997852775,0.6928457380410366,-0.29800156906323805,0.5055478502080444
AAPL,Mean Reversion,-0.15677290862553295,-0.012076642393469417,-0.4915216156660259,0.4678714859437751
AAPL,Buy & Hold,6.869143782712864,,-0.38515927269741657,
MSFT,MA Crossover,1.7462271888700287,0.6411679079294892,-0.44067345777993333,0.5318885448916408
MSFT,Mean Reversion,2.6702646524671647,0.9720291314389569,-0.21627393183403076,0.5302197802197802
MSFT,Buy & Hold,8.295788354219546,,-0.37148489238927507,
NVDA,MA Crossover,15.036874421997052,0.9982998203056968,-0.6381285934839508,0.5329949238578681
NVDA,Mean Reversion,1.3479573806535554,0.4995042123710766,-0.5630041901287463,0.5110132158590308
NVDA,Buy & Hold,101.47050658474689,,-0.6633508874865415,
AMD,MA Crossover,8.040264789886136,0.7521907404494527,-0.5747862728018774,0.494199535962877
AMD,Mean Reversion,2.2427061913923896,0.5696488564100907,-0.42892213738678453,0.5033407572383074
AMD,Buy & Hold,54.20973762170043,,-0.6544994295506881,
