Date,Open,High,Low,Close,Volume
2015-01-02,170.47261940302778,170.88562603005016,168.65538016095968,169.68789672851562,121465900
2015-01-05,168.647096929558,168.8122970325031,166.31774648892383,166.6233673095703,169632600
2015-01-06,166.92893414109756,167.4493262708284,164.2609161597577,165.05389404296875,209151400
2015-01-07,166.3755058100245,167.44932502984875,165.9294644192436,167.11065673828125,125346700
2015-01-08,168.51487082072038,170.2908059455661,168.49835963917315,170.07603454589844,147217800
2015-01-09,170.48911913604712,170.50564292912694,168.1019414964393,168.71319580078125,158567300
2015-01-12,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,144396100
2015-01-13,168.60574554907672,169.72912357347792,165.62383853897953,166.92068481445312,214553300
2015-01-14,164.91349780540452,166.11122679229365,164.0214148168744,165.91297912597656,192991100
2015-01-15,166.54899117615352,166.86286751898896,164.2774556177399,164.39309692382812,176613900
2015-01-16,164.18664354580645,166.70598626909864,164.00491963763713,166.54904174804688,211879600
2015-01-20,167.18509260530192,167.4494229202586,165.343086412314,166.9042510986328,130991100
2015-01-21,166.4416173249317,168.22580840656576,165.97905206760984,167.74671936035156,122942700
2015-01-22,168.49841437027467,170.37345500531438,167.12722961914895,170.24130249023438,174356000
2015-01-23,169.98526193605554,170.24133663203494,169.1757724765252,169.3079376220703,117516800
2015-01-26,169.09313463881273,169.79523815908667,168.3827629216211,169.70437622070312,92009700
2015-01-27,167.655845533799,168.60575536241527,166.63985315825929,167.4658660888672,134044600
2015-01-28,168.64708417164115,168.74620170511815,165.12827308965936,165.31825256347656,168514300
2015-01-29,165.51646277051452,167.1024059669704,164.11223080965064,166.84634399414062,173585400
2015-01-30,165.6734494946458,166.9950628601836,164.48398864289024,164.74830627441406,197729700
2015-02-02,165.24387318713673,166.8793751012651,163.43490302874275,166.78851318359375,163107000
2015-02-03,167.68065470962785,169.20878394437813,167.3089513455954,169.2005157470703,124212900
2015-02-04,168.4405873095906,169.64657196321926,168.101918918727,168.5562286376953,134306700
2015-02-05,169.2170253881554,170.40648613676643,169.14268724235677,170.25779724121094,97953200
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000
2015-02-09,169.1426493477386,169.86127647070768,168.62225723582003,169.02700805664062,87219000
2015-02-10,170.0595726937605,171.08382082082983,169.06834693936443,170.8277587890625,96164200
2015-02-11,170.6625774875651,171.3564255088663,170.0182882386482,170.92689514160156,91087800
2015-02-12,171.7198709274691,172.62849042176754,170.95994035221958,172.57066345214844,97545900
2015-02-13,172.69452848136683,173.3305493595107,172.43845388699384,173.28099060058594,93670400
2015-02-17,172.9670836873572,173.7270265917829,172.71928991847454,173.55355834960938,76968200
2015-02-18,173.18188702097638,173.64445228011232,172.91755681349412,173.5701141357422,80652900
2015-02-19,172.97534624270514,173.80961464663997,172.83492557693128,173.4461669921875,91462500
2015-02-20,173.0331782281016,174.56130712996128,172.41366855501633,174.48696899414062,140896400
2015-02-23,174.2391617104285,174.46218872070312,173.85919023381086,174.46218872070312,74411100
2015-02-24,174.38785846833633,175.1560571033271,174.090493287688,174.9578094482422,72472300
2015-02-25,174.83389192729734,175.31298091762983,174.47044423780673,174.80911254882812,73061700
2015-02-26,174.71830246796685,174.87524698081072,173.99966246725876,174.6026611328125,72697900
2015-02-27,174.5034889950828,174.7678191855219,173.9583300342273,174.0078887939453,108076000
2015-03-02,174.10704020970294,175.1643359693863,174.0574814403365,175.1065216064453,87491400
2015-03-03,174.67691161878352,175.15600051081097,173.52875443746123,174.38780212402344,110325800
2015-03-04,173.79314592999464,173.86749668575007,172.6862914344985,173.65272521972656,114497200
2015-03-05,173.9748954523809,174.12358438184387,173.338874365786,173.84274291992188,76873000
2015-03-06,172.98364859577046,173.41317890386983,171.06730490510006,171.397705078125,188128000
2015-03-09,171.5959539499552,172.46325756122909,171.4390094552801,172.1080780029297,89818900
2015-03-10,170.74514307546252,170.82773680839537,169.27482842335175,169.31613159179688,157121300
2015-03-11,169.57217657973325,169.7456448282181,168.8370256294043,168.9196319580078,110145700
2015-03-12,169.54744806123233,171.13339173529823,169.4978892907865,171.06732177734375,93993500
2015-03-13,170.79467305582406,171.75283834092306,168.9857029767861,170.01821899414062,162410900
2015-03-16,170.74510926241626,172.38061105651056,170.04299334976287,172.2897491455078,136099200
2015-03-17,171.55466762970326,172.1576536807261,170.96819276629859,171.77769470214844,94510400
2015-03-18,171.30687635619972,174.51181159260238,170.67084266564368,173.84274291992188,228808500
2015-03-19,173.42965405316122,173.85091604621357,172.6614555905891,173.0496826171875,117917300
2015-03-20,173.99645232282884,175.08335767044954,173.81391724732686,174.57723999023438,177715100
2015-03-23,174.58551785943564,175.15801303387462,174.23704528808594,174.23704528808594,71784500
2015-03-24,174.11257043384242,174.5688953590549,173.191602819688,173.2579803466797,77805300
2015-03-25,173.46540362154204,173.69771863356073,170.67761081709924,170.71908569335938,159521700
2015-03-26,170.0552950596819,171.22516228305733,169.35833753017545,170.3125,153067200
2015-03-27,170.19636661978635,170.87671404274337,170.00552650267113,170.70248413085938,118939000
2015-03-30,171.73135707604655,173.0837725574656,171.71477218612802,172.7850799560547,96180400
2015-03-31,171.96363121206426,172.66058888963727,171.21690621635824,171.2749786376953,126768700
2015-04-01,171.24180662976426,171.26669662045506,169.6819663586385,170.6693115234375,137303600
2015-04-02,170.60293450290862,171.73132717172223,170.42039946381973,171.28329467773438,86900900
2015-04-06,170.39553160211617,172.95100982101852,170.26278918753715,172.4365997314453,114368200
2015-04-07,172.46148275849654,173.20820786869345,171.94707268970402,171.98025512695312,81236300
2015-04-08,172.20428539278765,173.00079052443866,171.81432527158861,172.56105041503906,89351900
2015-04-09,172.3951263173616,173.5567016665092,171.9056061816652,173.3243865966797,85548900
2015-04-10,173.57330318765517,174.31173596083772,173.37418321480183,174.27024841308594,72722900
2015-04-13,174.1291290766868,174.75970915796123,173.4321841386416,173.48196411132812,74436600
2015-04-14,173.28288096153133,173.99642359516923,172.6606058505757,173.8138885498047,75099900
2015-04-15,174.27851832960081,175.09991337221425,174.195543250851,174.5937957763672,99529300
2015-04-16,174.26189611739576,175.05010861308017,174.0627635527124,174.5439910888672,68934900
2015-04-17,173.35754046703426,173.5981479249098,171.7562126949012,172.5361328125,191113200
2015-04-20,173.4571243470922,174.4444696253035,173.37416192199962,174.1125946044922,92189500
2015-04-21,174.79295459151788,174.9505996686606,173.606489280764,173.90518188476562,72559800
2015-04-22,174.24532765331014,174.94228541591448,173.324359960795,174.75975036621094,78264600
2015-04-23,174.3614273789198,175.84659727650632,174.2452699003557,175.19943237304688,102585900
2015-04-24,175.61430791029204,175.87151288886338,175.15797037078605,175.6060028076172,61327400
2015-04-27,176.17021507638887,176.29466502117256,174.68504488080637,174.87588500976562,79358100
2015-04-28,174.85102087644302,175.48158845695426,173.6811405816105,175.4318084716797,86863500
2015-04-29,174.5439650518762,175.30728744563643,173.90510524005842,174.7099151611328,125684900
2015-04-30,174.13746218128156,174.52742224365647,172.26233184044423,172.95928955078125,161304900
2015-05-01,173.7392317039157,174.87592968427109,173.63967172265475,174.83444213867188,103399700
2015-05-04,175.25757748874994,175.9130477655993,175.1497250669073,175.33226013183594,70927200
2015-05-05,175.09165227666028,175.4484299868982,173.1833390657276,173.3243865966797,113326200
2015-05-06,173.87197243782254,174.17895746152567,171.54880933841025,172.61082458496094,135060200
2015-05-07,172.51122599256044,173.7225935877157,172.1793510498914,173.2994384765625,88244900
2015-05-08,174.96717621586973,175.78027883907203,174.8842011346324,175.58114624023438,155877300
2015-05-11,175.5396971735505,175.80519468415648,174.66850933332694,174.74317932128906,75708100
2015-05-12,173.91341300842794,174.7597105314007,173.09200547199407,174.22039794921875,119727600
2015-05-13,174.62699413270371,175.24926925428832,174.02131655922287,174.25363159179688,94667900
2015-05-14,175.26585334388207,176.1619309693813,174.99205079218353,176.07066345214844,95934000
2015-05-15,176.26145935058594,176.4025068228175,175.78023186050478,176.26145935058594,76510100
2015-05-18,176.0955698911435,177.0580124734228,176.02919235784495,176.80911254882812,74549700
2015-05-19,176.92524966742405,177.1990522131285,176.46891209125,176.75100708007812,72114600
2015-05-20,176.85056630185804,177.3732814015002,176.31126631603755,176.62655639648438,76857500
2015-05-21,176.48554883127272,177.34843153585038,176.31959865019664,177.14100646972656,64764600
2015-05-22,176.75930935079924,177.17415941398292,176.65145694332057,176.71783447265625,57433500
2015-05-26,176.228266945015,176.6514220283665,174.4029295598266,174.81777954101562,124308600
2015-05-27,175.27412563801573,176.70950309837983,174.8675680788576,176.47718811035156,93214000
2015-05-28,176.1702416142466,176.38595910443956,175.5894540174039,176.27810668945312,74974600
2015-05-29,176.21175530193312,176.25323018911732,174.91742484828134,175.18292236328125,124919600
2015-06-01,175.84664258087983,176.17851755936138,174.75143236349666,175.53965759277344,93338800
2015-06-02,175.0833377129909,176.0540854164766,174.46106257022674,175.3654327392578,91531000
2015-06-03,175.8964251361335,176.45232269634687,175.34052757592013,175.83004760742188,87820900
2015-06-04,175.1248145661451,175.78027210602187,174.0296043048185,174.3448944091797,151882800
2015-06-05,174.19554356303513,174.71825870761285,173.39073340655372,174.04620361328125,121704700
2015-06-08,173.9383617105217,174.0877143403882,172.90123638724768,172.9759063720703,89063300
2015-06-09,172.9509735107422,173.49028614130725,172.32040602815917,172.9509735107422,105034700
2015-06-10,173.71432547087372,175.40692095542522,173.65625304064022,175.02525329589844,134551300
2015-06-11,175.46496915471943,175.971086709297,175.2326541454266,175.5894317626953,73876400
2015-06-12,174.7680459769165,175.46499109192928,173.97152823103042,174.24533081054688,135382400
2015-06-15,173.1086208896227,173.78067591599498,172.40337077095992,173.4985809326172,124384200
